# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/Manu/Braker3/braker.gtf" "-o" "/home/mabo3966/Genome_Analysis/Njaponicum_transcriptomics_heat_response/analyses/06_expression/FeatureCounts/Results/featurecounts_chr3.txt" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/Manu/HISAT2/ASSAY/Heat_treated_42_12h_3.sorted.bam
g1448	contig_41_pilon;contig_41_pilon	683373;683757	683681;683978	-;-	531	0	0	0	0	0	0
g1449	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	683957;684216;684784;684784;685384;685384	683983;684371;684951;684951;685581;685581	+;+;+;+;+;+	549	143	519	434	193	116	280
g1450	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	687234;687388;687796;687829;688155;688155;688955;688955;689449;690144;690722;691589	687285;687455;687852;687852;688276;688276;689291;689364;689590;690478;690907;692166	-;-;-;-;-;-;-;-;-;-;-;-	1950	455	278	260	181	155	171
g1451	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	693296;693775;696747;698150;698443	693723;693897;698102;698265;698567	-;-;-;-;-	2148	0	13	7	54	2	146
g1452	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	701481;701481;701819;701819	701689;701689;701873;701948	-;-;-;-	339	3222	830	1381	2253	7497	3144
g1453	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	701961;702214;702247;702670;702817	701966;702219;702274;702689;702957	-;-;-;-;-	201	85	22	22	226	771	129
g1454	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	703018;703066;704104;705013;705105;705516;705516;706277;706277;706621;706621;707072;707072;707762;707762;708264;708264;708650;708650;709075;709075	703030;703481;704227;705299;705299;705643;705643;706427;706427;706824;706824;707499;707499;707954;707954;708359;708359;708808;708808;709236;709236	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2361	5395	4700	5344	3507	5438	3788
g1455	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	712824;713077;713492;713862;714299;714539;714948;715168;715729;716134;716298;716571;717074;717266;717833;718704	712928;713262;713656;714177;714384;714736;715060;715513;715761;716174;716341;716658;717096;717709;718389;718934	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2976	2602	2199	1868	3570	1496	5374
g1456	contig_41_pilon	719032	719484	-	453	0	0	0	0	0	4
g1457	contig_41_pilon	721398	721694	+	297	69	26	67	30	34	75
g1458	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	721809;721809;722184;722184;722416;722416;723118;723118;723365;723365;723598;723598;723841;723841;724045;724045;724406;724406;724683;724683;724953;724953;725179;725179;725623;725623;725775;725775;725992;725992;726271;726271;726556;726556;726852;726852;727325;727325;727710;727716;728261;728261	721931;721931;722282;722282;722567;722567;723190;723190;723487;723487;723706;723706;723920;723920;724126;724126;724545;724545;724793;724793;725069;725069;725268;725268;725676;725676;725849;725849;726067;726067;726370;726370;726625;726625;726928;726928;727419;727419;728021;728021;728535;728535	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2433	3184	2152	2354	3289	2509	3803
g1459	contig_41_pilon	728574	728930	+	357	116	65	96	128	100	154
g1460	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	731158;731418;731702;731916;732166;732413;732649;733040;733286;733503;734191	731205;731495;731809;731995;732286;732511;732732;733100;733354;733658;734258	-;-;-;-;-;-;-;-;-;-;-	972	1552	1828	1454	795	305	1341
g1461	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	734406;734473;735219;735659;735963	734418;734824;735325;735834;736121	+;+;+;+;+	807	6223	5221	6213	8668	8666	6719
g1462	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	738679;739104;739325;739745;740124;740539;740786;741030;741349;741514;741803;741981;742287;742698;743128;743445;743649;743803	738762;739191;739428;739927;740233;740691;740870;741121;741405;741624;741858;742077;742315;742842;743225;743489;743706;743995	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1788	1146	613	789	1166	461	1057
g1463	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	744190;745207;745420;745755;746077;746449;746834	744801;745294;745613;745876;746320;746683;747150	+;+;+;+;+;+;+	1812	275	345	292	1495	832	1267
g1464	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	747679;748132;748327;750791	747760;748224;750101;750892	-;-;-;-	2052	280	1458	1076	4258	3237	2040
g1465	contig_41_pilon	751311	751607	+	297	23	41	44	125	88	67
g1466	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	754397;755024;755147;755928;756190	754430;755088;755842;756099;756257	-;-;-;-;-	1035	166	233	194	398	348	351
g1467	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	756452;756618;756778;757452	756581;756666;757052;757564	+;+;+;+	567	612	536	703	505	428	678
g1468	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	758843;758843;758843;759104;759267;759267;759267;759267;759834;759834;759834;759834;760333;760333;760333;760333;760962;760962;760962;760962;761940;761940;761940;761940;763577;763577;763577;763577;763737;763737;763737;763737;764339;764552;764552;764552;764552;764757;764757;764757;764757;765168;765168;765168;765168;765297;765297;765297;765627;765627;765627;765641;765875;765875;765875;765875	758874;758874;758874;759108;759636;759636;759636;759636;760030;760030;760030;760030;760604;760604;760604;760604;761304;761304;761304;761304;762133;762133;762133;762133;763590;763590;763590;763590;763834;763834;763834;763834;764410;764636;764636;764636;764636;765002;765002;765002;765002;765237;765237;765237;765305;765305;765305;765305;765704;765704;765704;765704;766050;766050;766050;766050	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2320	954	967	849	1642	1184	1582
g1469	contig_41_pilon;contig_41_pilon	762202;762625	762345;762681	-;-	201	11	15	23	52	5	27
g1470	contig_41_pilon	772665	774398	-	1734	0	4	0	0	0	0
g1471	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	785614;785614;786137;786137;787020;787020;787370;787370;787740;787740;788134;788134;788422;788422;788724;788724;789086;789086;789154;789373;789373;789923;789923;790268;790268;790690;790690	785815;785815;786748;786748;787128;787128;787462;787462;787854;787854;788182;788182;788555;788555;788814;788825;789128;789171;789171;789595;789595;790002;790002;790370;790370;790791;790791	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2010	920	912	701	938	837	1405
g1472	contig_41_pilon	790866	791114	+	249	71	95	88	72	39	77
g1473	contig_41_pilon;contig_41_pilon;contig_41_pilon	791362;792434;793069	792087;792789;793267	+;+;+	1281	573	745	820	459	352	881
g1474	contig_41_pilon;contig_41_pilon	794890;795404	795276;795643	+;+	627	4	8	9	19	21	78
g1475	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	796563;796933;797235;797650	796784;797030;797387;797968	-;-;-;-	792	159	200	174	591	561	734
g1476	contig_41_pilon	798034	798540	-	507	57	81	73	342	257	233
g1477	contig_41_pilon;contig_41_pilon	799933;800137	800108;800239	+;+	279	0	0	1	4	2	2
g1478	contig_41_pilon	801679	802017	-	339	75	165	223	330	124	468
g1479	contig_41_pilon	806046	806615	+	570	41	52	97	171	92	188
g1480	contig_41_pilon;contig_41_pilon	809453;811299	809761;811628	-;-	639	0	15	2	0	0	0
g1481	contig_41_pilon	811723	812541	+	819	0	175	90	0	0	0
g1482	contig_41_pilon;contig_41_pilon	815494;815850	815697;816674	+;+	1029	0	0	0	0	0	0
g1483	contig_41_pilon;contig_41_pilon;contig_41_pilon	817897;818822;819050	818614;818966;819269	-;-;-	1083	18	2	8	0	30	2
g1484	contig_41_pilon;contig_41_pilon	819646;820519	819661;820778	+;+	276	0	0	0	0	0	0
g1485	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	821770;822140;822442;822857;823200;823421;824841;825406;827249;829213	821991;822237;822594;823151;823207;823766;824919;825425;828154;829317	-;-;-;-;-;-;-;-;-;-	2232	573	612	608	1627	1512	1177
g1486	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	834908;835540;836583;837067;837532;837955;838592;839180;839452;839702;840130;840555;840950;841287;841800;842020;842499;842762;843426;843761	835279;835740;836744;837154;837771;838122;838800;839263;839571;839888;840290;840626;841026;841481;841872;842106;842636;842964;843591;843892	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3135	2626	1959	2041	2221	1155	2405
g1487	contig_41_pilon;contig_41_pilon;contig_41_pilon	844806;845368;846116	844891;845649;846659	-;-;-	912	9	18	31	29	32	23
g1488	contig_41_pilon;contig_41_pilon	846690;854535	846996;854638	-;-	411	0	0	3	6	2	2
g1489	contig_41_pilon;contig_41_pilon	856886;856886	857323;857926	-;-	1041	379	416	880	25	6	77
g1490	contig_41_pilon;contig_41_pilon;contig_41_pilon	857391;858110;858218	857416;858191;858427	+;+;+	318	0	0	0	0	0	0
g1491	contig_41_pilon;contig_41_pilon	858099;858321	858296;858425	-;-	303	18	16	22	1	0	6
g1492	contig_41_pilon;contig_41_pilon;contig_41_pilon	858535;859077;859597	858745;859360;860364	+;+;+	1263	3015	4296	5750	560	323	788
g1493	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	865567;865801;866195;866336	865678;865948;866298;866463	+;+;+;+	492	2	2	7	36	5	7
g1494	contig_41_pilon	868033	869406	-	1374	26156	28449	31896	9882	9033	28494
g1495	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	869471;877577;877854;878064;878475;878641;878995	869749;877684;877916;878291;878514;878649;879179	-;-;-;-;-;-;-	912	1598	1551	1839	1479	1230	1841
g1496	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	886192;886192;886786;886808;886873;887279;887279;887502;887502;887895;887895	886432;886432;886808;887043;887043;887391;887391;887651;887651;888135;888135	+;+;+;+;+;+;+;+;+;+;+	1003	648	709	613	1360	1138	1280
g1497	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	889406;890165;890429;890745;891211;891658	889793;890249;890443;890914;891482;891816	+;+;+;+;+;+	1089	73	52	18	364	120	336
g1498	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	899008;899977;900324;900682;900999;901510;902283;902809;903316;904603;905000;905896;906274;906596;907269;907698;908213;908579;908680	899559;900146;900387;900807;901260;901795;902639;903017;903736;904869;905061;906157;906310;907144;907544;908067;908243;908633;908856	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4533	2589	1748	1782	1475	846	2270
g1499	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	911918;912338;912621;912966;913283;913566;913753;914043;914502;914977;915343;915742;916231;916745;917187;917400	912085;912424;912737;913064;913396;913619;913847;914178;914755;915082;915548;916030;916286;916994;917374;917757	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2577	1053	1060	870	994	373	1198
g1500	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	919893;920619;921131;921419;921787;923084;923519;924975;925613	920220;920692;921265;921576;921892;923371;924193;925166;925750	+;+;+;+;+;+;+;+;+	2094	5880	4577	5421	8741	8614	6857
g1501	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	926918;927757;928123;928539;929004;929430;929710;930052	927637;927936;928402;928627;929242;929538;929766;930234	-;-;-;-;-;-;-;-	1857	12344	1143	1855	3760	2223	2751
g1502	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	930530;931704;931910;932167;932420	930600;931778;932053;932372;932604	-;-;-;-;-	681	1527	116	303	502	200	334
g1503	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	933646;934072;934237;934448	933837;934190;934343;934755	-;-;-;-	726	0	0	0	1	0	0
g1504	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	935362;935883;936162;936429	935480;936044;936321;936488	-;-;-;-	501	0	0	0	0	0	0
g1505	contig_41_pilon;contig_41_pilon	953362;954131	953872;954318	-;-	699	0	0	0	0	0	0
g1506	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	954409;954977;957493;958364	954850;955287;958318;958728	-;-;-;-	1944	0	0	0	8	0	0
g1507	contig_41_pilon;contig_41_pilon	960160;960929	960316;961245	+;+	474	0	0	0	0	0	0
g1508	contig_41_pilon	984223	984837	-	615	65	33	59	588	469	359
g1509	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	984957;985699;985990;986251;986681;986966;987208;987669;987780;988546;989068;989272	985544;985752;986055;986362;986809;987037;987323;987747;988347;988861;989210;989467	+;+;+;+;+;+;+;+;+;+;+;+	2439	4079	1510	2553	7059	7856	5564
g1510	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	995382;995639;995988;996502;997106;997528;997814;998042;998489;998796;999099;999272;999350	995577;995781;996303;996987;997182;997643;997885;998170;998600;998861;999152;999311;999894	-;-;-;-;-;-;-;-;-;-;-;-;-	2352	617	2273	1900	4867	2900	3040
g1511	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1000005;1000617;1001179;1001632;1002217;1002794;1003017;1003087;1003491;1007505;1007975;1008408	1000429;1000727;1001299;1001784;1002456;1002856;1003021;1003128;1003529;1007923;1008368;1008573	+;+;+;+;+;+;+;+;+;+;+;+	2178	1164	1508	1511	3142	5086	5611
g1512	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1008945;1008945;1009247;1009247;1009653;1009843;1009843;1010081;1010081;1010475;1010475;1010780;1010780;1011085;1011085;1011417;1011417;1011678;1011678;1012092;1012092;1012362;1012362	1009033;1009033;1009344;1009328;1009717;1009875;1009875;1010201;1010201;1010567;1010567;1010899;1010899;1011261;1011261;1011472;1011472;1011774;1011774;1012160;1012160;1012408;1012408	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1065	815	981	682	1393	825	1175
g1513	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1013195;1013195;1013195;1013465;1013465;1013465;1013691;1013691;1013691;1013909;1013909;1013909;1014240;1014240;1014315;1014593;1014593;1014593;1015271;1015271;1015285;1015639;1015694	1013335;1013335;1013335;1013535;1013535;1013535;1013724;1013724;1013724;1013943;1013943;1013943;1014366;1014366;1014366;1014763;1014763;1014763;1015330;1015330;1015346;1015668;1015931	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	923	85	24	34	47	47	65
g1514	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1015537;1015724;1016192;1016894	1015821;1016091;1016325;1016934	+;+;+;+	730	97	76	60	41	16	29
g1515	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1016967;1016967;1017173;1017231;1017293;1017453;1017453;1017679;1017679;1018186;1018186;1018609;1018609;1019226;1019226;1019562;1019562;1019826;1019826	1016972;1016972;1017204;1017347;1017347;1017513;1017513;1017971;1017971;1018440;1018440;1018954;1018954;1019343;1019343;1019664;1019664;1020161;1020161	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1667	953	512	582	144	123	311
g1516	contig_41_pilon	1020558	1021373	-	816	348	676	670	270	241	314
g1517	contig_41_pilon;contig_41_pilon;contig_41_pilon	1026402;1027575;1028283	1027095;1027990;1029521	+;+;+	2349	644	1411	1304	943	503	1132
g1518	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1030708;1030708;1031022;1031022;1031305;1031305;1031565;1031565;1031913;1031913;1032124;1032124;1032398;1032398;1032623;1032623;1032999;1032999;1033268;1033268;1033586;1033586;1033775;1033775;1033988;1033988;1034311;1034311;1034513;1034513;1034820;1034820;1035199;1035199;1035362;1035362;1035569;1035569;1035789;1035789;1036327;1036327;1036602;1036602;1036691;1036691;1037411;1037411;1037662;1037662;1037842;1037972;1038243;1038281	1030908;1030908;1031168;1031168;1031452;1031452;1031710;1031710;1032004;1032004;1032175;1032175;1032472;1032472;1032840;1032840;1033154;1033154;1033449;1033449;1033642;1033642;1033849;1033849;1034059;1034059;1034382;1034382;1034584;1034584;1034891;1034891;1035270;1035270;1035433;1035433;1035649;1035649;1035953;1035953;1036456;1036456;1036658;1036658;1036706;1036706;1037459;1037459;1037671;1037671;1037927;1038017;1038529;1038529	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2908	2247	21494	13040	2341	3802	2042
g1519	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1047642;1047784;1048240;1048738;1049621	1047670;1048192;1048288;1048809;1049979	+;+;+;+;+	918	198	1441	959	629	829	498
g1520	contig_41_pilon;contig_41_pilon;contig_41_pilon	1062057;1062555;1062861	1062414;1062769;1063853	-;-;-	1566	2650	1096	1401	2731	4723	2001
g1521	contig_41_pilon;contig_41_pilon	1064098;1064338	1064249;1064623	+;+	438	248	51	44	154	324	127
g1522	contig_41_pilon;contig_41_pilon	1066090;1066281	1066194;1066505	+;+	330	1	2	0	81	56	82
g1523	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1066889;1067289;1067621;1068053;1068452;1068771;1069442;1069809;1070061;1070346	1067149;1067405;1067938;1068280;1068559;1069082;1069660;1069938;1070188;1071044	-;-;-;-;-;-;-;-;-;-	2520	139	124	142	284	143	501
g1524	contig_41_pilon	1071205	1071480	+	276	2	11	5	21	8	66
g1525	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1071523;1074873;1075412;1075770;1076221;1076385	1071775;1075066;1075618;1075941;1076269;1076691	-;-;-;-;-;-	1182	0	2	0	0	0	0
g1526	contig_41_pilon	1080409	1080735	+	327	1	0	0	2	0	3
g1527	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1085926;1086175;1086650;1087053;1087675	1086027;1086345;1086920;1087544;1087787	-;-;-;-;-	1149	0	2	0	0	0	2
g1528	contig_41_pilon	1090059	1090412	-	354	1	7	4	37	8	11
g1529	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1090958;1091628;1091948;1092543	1091454;1091729;1092024;1092625	-;-;-;-	759	228	130	78	95	23	68
g1530	contig_41_pilon	1092695	1093084	-	390	4	0	0	6	4	0
g1531	contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon;contig_41_pilon	1093177;1093235;1093421;1093683;1093683;1094081;1094081;1094444;1094444;1095157;1095157;1095591;1095878	1093251;1093521;1093521;1093941;1093941;1094332;1094332;1094749;1094749;1095386;1095390;1095594;1095883	+;+;+;+;+;+;+;+;+;+;+;+;+	1406	2512	238	405	2139	3349	2004
